time,EpTO-real-trace-0.000000,EpTO-real-trace-0.250000,EpTO-real-trace-0.500000,EpTO-real-trace-0.750000,EpTO-real-trace-1.000000,JGroups-coord-0.000000,JGroups-coord-0.250000,JGroups-coord-0.500000,JGroups-coord-0.750000,JGroups-coord-1.000000,JGroups-nocoord-0.000000,JGroups-nocoord-0.250000,JGroups-nocoord-0.500000,JGroups-nocoord-0.750000,JGroups-nocoord-1.000000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016666666666667,0,0.0002,0.000328,0.000452,0.001086,0,0.000221,0.000328,0.0005,0.007084,0,0.000238,0.00034,0.0005,0.008672
0.033333333333333,0,9E-05,0.00018,0.0003,0.001214,0,0.00023,0.000912,0.050544,0.114665,0,0.000241,0.00151,0.050949,0.138583
0.05,0,0,9E-05,0.000238,0.000886,0,0.000238,0.001162,0.006296,0.094288,0,0.000258,0.001326,0.00867,0.101186
0.066666666666667,0,0,8.4E-05,0.000238,0.00075,0,0.00025,0.00155,0.010589,0.073357,0,0.000328,0.002294,0.0109835,0.074042
0.083333333333333,0,8.4E-05,0.00014,0.00025,0.000938,0,0.00032,0.003172,0.010884,0.102666,0,0.00032,0.003846,0.0110665,0.074207
0.1,0,4.2E-05,0.000112,0.00023,0.001092,0,0.000268,0.00463,0.010731,0.075835,0,0.00034,0.004922,0.010901,0.095186
0.116666666666667,0,0,7.8E-05,0.00023,0.001176,0,0.00032,0.007202,0.0110635,0.065979,0,0.000402,0.00735,0.0113215,0.071599
0.133333333333333,0,0,8.4E-05,0.000238,0.001092,0,0.0003435,0.008092,0.0116805,0.07352,0,0.000398,0.007882,0.011855,0.122372
0.15,0,7E-05,0.00014,0.00023,0.001078,0,0.00036,0.007319,0.012174,0.074229,0,0.0004185,0.0083205,0.012814,0.098149
0.166666666666667,0,4.2E-05,8.4E-05,0.00021,0.001064,0,0.000348,0.007813,0.0134315,0.075582,0,0.000502,0.008154,0.01372275,0.071026
0.183333333333333,0,4.2E-05,0.00016,0.000336,0.002195,0,0.000439,0.008076,0.015346,0.104094,0,0.0005335,0.0084225,0.01585,0.094942
0.2,0,0.000196,0.000418,0.001932,0.014883,0,0.000534,0.008444,0.0143905,0.069377,0,0.0007635,0.0083735,0.014772,0.074972
0.216666666666667,0,0.00021,0.000747,0.009956,0.034656,0,0.000756,0.007769,0.0128695,0.079766,0,0.000728,0.00845,0.01339825,0.108097
0.233333333333333,0,0.000238,0.001097,0.01813925,0.052504,0,0.000861,0.007965,0.013589,0.063565,0,0.001047,0.0084245,0.01329125,0.075976
0.25,0,0.000238,0.000754,0.02732075,0.087535,0,0.0013875,0.008848,0.013908,0.074794,0,0.00140625,0.0086135,0.0136335,0.061789
0.266666666666667,0,0.00025,0.000754,0.03975625,0.427121,0,0.001427,0.009011,0.0139,0.065566,0,0.00154875,0.0088695,0.0141005,0.065132
