time,EpTO-100-1sec-0.000000,EpTO-100-1sec-0.250000,EpTO-100-1sec-0.500000,EpTO-100-1sec-0.750000,EpTO-100-1sec-1.000000,EpTO-50-1sec-0.000000,EpTO-50-1sec-0.250000,EpTO-50-1sec-0.500000,EpTO-50-1sec-0.750000,EpTO-50-1sec-1.000000,EpTO-50-2sec-0.000000,EpTO-50-2sec-0.250000,EpTO-50-2sec-0.500000,EpTO-50-2sec-0.750000,EpTO-50-2sec-1.000000,EpTO-add-suspend-0.000000,EpTO-add-suspend-0.250000,EpTO-add-suspend-0.500000,EpTO-add-suspend-0.750000,EpTO-add-suspend-1.000000,EpTO-suspend-0.000000,EpTO-suspend-0.250000,EpTO-suspend-0.500000,EpTO-suspend-0.750000,EpTO-suspend-1.000000,JGroups-100-1sec-0.000000,JGroups-100-1sec-0.250000,JGroups-100-1sec-0.500000,JGroups-100-1sec-0.750000,JGroups-100-1sec-1.000000,JGroups-50-1sec-0.000000,JGroups-50-1sec-0.250000,JGroups-50-1sec-0.500000,JGroups-50-1sec-0.750000,JGroups-50-1sec-1.000000,JGroups-50-2sec-0.000000,JGroups-50-2sec-0.250000,JGroups-50-2sec-0.500000,JGroups-50-2sec-0.750000,JGroups-50-2sec-1.000000,JGroups-add-suspend-coord-0.000000,JGroups-add-suspend-coord-0.250000,JGroups-add-suspend-coord-0.500000,JGroups-add-suspend-coord-0.750000,JGroups-add-suspend-coord-1.000000,JGroups-add-suspend-nocoord-0.000000,JGroups-add-suspend-nocoord-0.250000,JGroups-add-suspend-nocoord-0.500000,JGroups-add-suspend-nocoord-0.750000,JGroups-add-suspend-nocoord-1.000000,JGroups-suspend-coord-0.000000,JGroups-suspend-coord-0.250000,JGroups-suspend-coord-0.500000,JGroups-suspend-coord-0.750000,JGroups-suspend-coord-1.000000,JGroups-suspend-nocoord-0.000000,JGroups-suspend-nocoord-0.250000,JGroups-suspend-nocoord-0.500000,JGroups-suspend-nocoord-0.750000,JGroups-suspend-nocoord-1.000000
10,0,8.4E-05,0.00016,0.000258,0.00098,0,0,7E-05,0.000112,0.000588,0,0,7E-05,0.000112,0.000574,0,7E-05,0.000154,0.000252,0.075714,0,7E-05,0.00016,0.000252,0.000882,0,0.000252,0.001289,0.005472,0.059225,0,0.00041725,0.00113,0.002123,0.019773,0,0.000321,0.001283,0.00224425,0.025805,0,0.000348,0.0022455,0.005267,0.065064,0,0.00032,0.002017,0.004401,0.058129,0,0.00023,0.000948,0.005126,0.062172,0,0.0003325,0.002079,0.00547375,0.06093
11,0,8.4E-05,0.000168,0.0003155,0.001822,0,3.15E-05,7E-05,0.00014,0.001611,0,0,7E-05,0.0001435,0.001701,0,7E-05,0.000168,0.000294,0.084741,0,8.25E-05,0.000168,0.0002925,0.00187,0,0.000328,0.001384,0.005591,0.071044,0,0.000601,0.001435,0.002567,0.024561,0,0.000391,0.0013095,0.002542,0.007911,0,0.0003965,0.002331,0.00520825,0.063619,0,0.000348,0.0023215,0.004575,0.061829,0,0.000246,0.001284,0.00477775,0.065623,0,0.000423,0.00241,0.00561675,0.086553
12,0,0.000112,0.000213,0.0003905,0.002368,0,7E-05,0.000449,0.00147,0.002121,0,7E-05,0.000356,0.001483,0.002299,0,0.000126,0.000258,0.000809,0.074076,0,9E-05,0.00021,0.00034,0.002211,0,0.000378,0.0020525,0.00566575,0.063958,0,0.00064275,0.0016045,0.00261125,0.02119,0,0.00057375,0.001604,0.00287925,0.02586,0,0.00055125,0.0031415,0.00843925,0.062363,0,0.000418,0.002888,0.00843875,0.071684,0,0.000258,0.0017565,0.00495525,0.06206,0,0.000572,0.0026785,0.00576975,0.056545
13,0,0.0001225,0.000252,0.000546,0.002369,0,7E-05,0.00022,0.000398,0.001827,0,7E-05,0.00022,0.000398,0.002099,0,0.00014,0.000308,0.00144025,0.100875,0,0.000112,0.00025,0.00044,0.002418,0,0.000504,0.0025425,0.00647625,0.072312,0,0.000642,0.0019185,0.008433,0.026578,0,0.000601,0.001916,0.00568125,0.028441,0,0.000661,0.002795,0.005583,0.06759,0,0.00053975,0.002516,0.00496225,0.049988,0,0.000306,0.0021755,0.0054495,0.058302,0,0.0006275,0.002845,0.005829,0.056124
14,0,0.00014,0.00032,0.000578,0.00242,0,7E-05,0.000262,0.000408,0.001996,0,7E-05,0.000272,0.00044,0.002107,0,0.00016,0.000356,0.0008125,0.113886,0,0.000112,0.000251,0.000514,0.002631,0,0.00061375,0.0031335,0.00712475,0.070896,0,0.000642,0.002666,0.00794075,0.028451,0,0.000642,0.0030915,0.0095155,0.030627,0,0.000986,0.002801,0.005809,0.086246,0,0.00078075,0.002887,0.00524625,0.054984,0,0.000328,0.002403,0.00532925,0.062474,0,0.0008065,0.003167,0.0065165,0.056687
15,0,0.000166,0.000398,0.000605,0.00204,0,9.4E-05,0.000272,0.000462,0.002037,0,8.4E-05,0.000304,0.000492,0.001673,0,0.00016,0.000398,0.000858,0.121107,0,0.000148,0.00032,0.000566,0.002159,0,0.000748,0.003233,0.007168,0.057509,0,0.000963,0.002629,0.0050625,0.026281,0,0.001284,0.0032125,0.00737875,0.032671,0,0.0013805,0.0031295,0.00625125,0.064262,0,0.0008565,0.0028395,0.0054375,0.058995,0,0.00041,0.002984,0.00609525,0.050493,0,0.001062,0.003323,0.00698075,0.067362
16,0,0.000168,0.000401,0.00065,0.002309,0,8.4E-05,0.000262,0.000388,0.001762,0,9.4E-05,0.000272,0.00046,0.002109,0,0.0001805,0.000422,0.000846,0.516994,0,0.000154,0.000346,0.000566,0.002211,0,0.0010575,0.0035485,0.00737375,0.055261,0,0.00128275,0.002474,0.004357,0.0273,0,0.00156025,0.003162,0.00462025,0.055221,0,0.00139875,0.0032145,0.00663925,0.056162,0,0.00116325,0.003017,0.00582225,0.060559,0,0.000502,0.003054,0.0060415,0.061183,0,0.00134025,0.0036965,0.00721325,0.05563
17,0,0.00023,0.00041,0.0006625,0.002491,0,4.2E-05,0.00022,0.000356,0.001689,0,8.4E-05,0.00023,0.000356,0.001785,0,0.000224,0.00044,0.000942,0.78617,0,0.00016,0.000363,0.000566,0.002243,0,0.001305,0.0036385,0.00783675,0.058106,0,0.001284,0.0025415,0.00411425,0.037249,0,0.00192475,0.0032075,0.00450075,0.073253,0,0.001658,0.003114,0.00642825,0.050508,0,0.00133475,0.003219,0.00640175,0.088202,0,0.00057025,0.003423,0.006755,0.056024,0,0.0016855,0.0039345,0.0072935,0.055739
18,0,0.000168,0.000384,0.000608,0.00237,0,4.2E-05,0.000136,0.000314,0.001278,0,4.2E-05,0.000136,0.000314,0.000942,0,0.000196,0.000421,0.0009195,0.588855,0,0.000154,0.000348,0.000566,0.00221,0,0.00159125,0.003724,0.007166,0.054769,0,0.001224,0.0023345,0.003688,0.065582,0,0.00148525,0.0030955,0.00426,0.089408,0,0.0019745,0.0036205,0.00642625,0.056561,0,0.001724,0.0033525,0.006103,0.076891,0,0.00105875,0.003819,0.007584,0.069808,0,0.001807,0.003947,0.00706025,0.098411
19,0,0.000126,0.000342,0.000566,0.00254,0,4.2E-05,0.000103,0.000272,0.001046,0,4.2E-05,0.000126,0.000272,0.00134,0,0.00016,0.000398,0.000796,0.337675,0,0.0001075,0.000328,0.0005645,0.002253,0,0.001868,0.0041835,0.007956,0.092381,0,0.000963,0.0022375,0.00361625,0.092473,0,0.001282,0.002709,0.00401525,0.097349,0,0.00202075,0.003504,0.0065045,0.076534,0,0.00216025,0.003614,0.00652275,0.057414,0,0.001243,0.0036025,0.007484,0.098273,0,0.0021605,0.004047,0.00701625,0.060028
