EpTO-100-1sec-x,EpTO-100-1sec-y,EpTO-50-1sec-x,EpTO-50-1sec-y,EpTO-50-2sec-x,EpTO-50-2sec-y,EpTO-add-suspend-x,EpTO-add-suspend-y,EpTO-suspend-x,EpTO-suspend-y,EpTO-real-trace-x,EpTO-real-trace-y,JGroups-100-1sec-x,JGroups-100-1sec-y,JGroups-50-1sec-x,JGroups-50-1sec-y,JGroups-50-2sec-x,JGroups-50-2sec-y,JGroups-add-suspend-coord-x,JGroups-add-suspend-coord-y,JGroups-add-suspend-nocoord-x,JGroups-add-suspend-nocoord-y,JGroups-suspend-coord-x,JGroups-suspend-coord-y,JGroups-suspend-nocoord-x,JGroups-suspend-nocoord-y,JGroups-coord-x,JGroups-coord-y,JGroups-nocoord-x,JGroups-nocoord-y
1197.336854,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.340704,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.341925,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.344772,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.347769,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.348,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.348921,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.34992,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.353676,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.35859,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.359917,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.360916,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.365575,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.374226,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.376826,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.377912,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.388932,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.39182,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.392,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.40108,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.41107,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.419248,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.42543,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.428712,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.437127,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.439804,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.441802,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.442,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.443798,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.45298,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.454897,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.465752,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.467,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.47594,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.480572,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.493488,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.500346,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.51524,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.526779,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.542208,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.547548,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.586984,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.757495,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.808172,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197.916194,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.020846,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.168674,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.20548,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.208,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.22117,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.230893,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.235504,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.236875,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.239622,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.253095,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.255872,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.257742,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.26235,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.263869,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.270944,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.272867,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.274732,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.277595,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.284048,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.285863,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.289448,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.30722,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.31172,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.312859,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.313858,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.314857,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.315856,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.31771,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.318,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.321412,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.327112,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.330553,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.33185,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198.333698,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
