EpTO-100-1sec-x,EpTO-100-1sec-y,EpTO-50-1sec-x,EpTO-50-1sec-y,EpTO-50-2sec-x,EpTO-50-2sec-y,EpTO-add-suspend-x,EpTO-add-suspend-y,EpTO-suspend-x,EpTO-suspend-y,EpTO-real-trace-x,EpTO-real-trace-y,JGroups-100-1sec-x,JGroups-100-1sec-y,JGroups-50-1sec-x,JGroups-50-1sec-y,JGroups-50-2sec-x,JGroups-50-2sec-y,JGroups-add-suspend-coord-x,JGroups-add-suspend-coord-y,JGroups-add-suspend-nocoord-x,JGroups-add-suspend-nocoord-y,JGroups-suspend-coord-x,JGroups-suspend-coord-y,JGroups-suspend-nocoord-x,JGroups-suspend-nocoord-y,JGroups-coord-x,JGroups-coord-y,JGroups-nocoord-x,JGroups-nocoord-y
,,,,,,,,,,,,1199.868,0.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1199.9287,0.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1200.403,1.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1199.674,0.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1199.6884,0.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1199.7412,0.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1199.8149,0.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1199.853,0.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1199.864,0.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1199.867,0.6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1199.8679,0.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1199.8702,0.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1199.8751,0.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1199.912,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1199.86,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1199.8609,0.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1199.8674,0.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1199.8697,0.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1199.8718,0.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1199.875,0.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1199.879,0.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1199.8826,0.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1199.8848,0.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1199.8883,0.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1199.891,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1199.735,0.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1199.7467,0.1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1199.7528,0.2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1199.7708,0.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1199.802,0.4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1199.819,0.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1199.8236,0.6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1199.8293,0.7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1199.8332,0.8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1199.8479,0.9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1199.865,1.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1199.639,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1199.7056,0.1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1199.7322,0.2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1199.7783,0.3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1199.8194,0.4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1199.8365,0.5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1199.8504,0.6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1199.8702,0.7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1199.874,0.8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1199.9218,0.9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1200.316,1.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1199.574,0.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1199.709,0.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1199.8088,0.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1199.8412,0.3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1199.849,0.4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1199.8525,0.5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1199.8548,0.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1199.8671,0.7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1199.8938,0.8,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1199.9502,0.9,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1200.429,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1199.686,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1199.74,0.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1199.7924,0.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1199.8124,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1199.8208,0.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1199.824,0.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1199.8368,0.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1199.859,0.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1199.868,0.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1199.8781,0.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1199.897,1.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3659.596,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3659.6104,0.1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3659.6248,0.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3659.6446,0.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3659.6698,0.4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3659.695,0.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3659.7102,0.6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3659.7254,0.7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3659.745,0.8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3659.769,0.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3659.793,1.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3659.512,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3659.586,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3659.66,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3659.7188,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3659.7624,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3659.806,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3659.8084,0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3659.8108,0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3659.8128,0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3659.8144,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3659.816,1.0
